Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Scaled_price
2002-03-05,1346.6791022313785,1404.3939208984375,1335.1361384979666,1404.3939208984375,1726700,0.0,0.0,-1.0094211554041177
2002-03-06,1396.0573890686035,1443.5117973327638,1379.3842185974122,1436.457763671875,898300,0.0,0.0,-1.0036184042785201
2002-03-07,1449.9242883752893,1474.934039479507,1437.098774988511,1471.7276611328125,763700,0.0,0.0,-0.9972354376878557
2002-03-08,1452.489264237253,1463.3909496641995,1438.381200743558,1462.1083984375,402000,0.0,0.0,-0.9989762829080326
2002-03-11,1445.4354757474164,1448.6418543537773,1379.3840764563854,1384.5142822265625,439600,0.0,0.0,-1.0130188712641537
2002-03-12,1378.101555147059,1378.101555147059,1350.5266985294118,1362.7109375,598400,0.0,0.0,-1.0169647296582283
2002-03-13,1365.9173496791293,1365.9173496791293,1337.7012166341144,1346.6790771484375,1984100,0.0,0.0,-1.0198660941751951
2002-03-14,1346.678781095558,1346.678781095558,1321.027756693738,1330.005615234375,1467300,0.0,0.0,-1.0228835724785001
2002-03-15,1330.005615234375,1330.005615234375,1330.005615234375,1330.005615234375,0,0.0,0.0,-1.0228835724785001
2002-03-18,1327.4406368549055,1333.8533935546875,1304.995988405668,1333.8533935546875,1481400,0.0,0.0,-1.022187221135431
2002-03-19,1333.8535533665458,1345.3965168091408,1321.028038430329,1327.4407958984375,1031700,0.0,0.0,-1.0233477404322209
2002-03-20,1321.669322858538,1349.8854559035528,1321.0280471075148,1346.6790771484375,1188200,0.0,0.0,-1.0198660941751951
2002-03-21,1346.679060061955,1404.393876921753,1346.679060061955,1397.33984375,1251000,0.0,0.0,-1.0106977663955818
2002-03-22,1407.6002791413164,1449.283203125,1375.5364914615598,1449.283203125,1546800,0.0,0.0,-1.0012973215016123
2002-03-25,1449.9245902515695,1455.6960724772503,1410.8067662775113,1420.4259033203125,139200,0.0,0.0,-1.006519768795487
2002-03-26,1417.21923828125,1417.21923828125,1397.9809680783371,1417.21923828125,667600,0.0,0.0,-1.007100094718874
2002-03-27,1405.0350266979588,1414.012886293473,1391.5682373046875,1391.5682373046875,295200,0.0,0.0,-1.0117422823643536
2002-03-28,1391.5682373046875,1391.5682373046875,1391.5682373046875,1391.5682373046875,0,0.0,0.0,-1.0117422823643536
2002-03-29,1378.742639047128,1388.3617737381546,1378.742639047128,1385.1553955078125,388300,0.0,0.0,-1.0129028458444718
2002-04-01,1385.1553955078125,1385.1553955078125,1385.1553955078125,1385.1553955078125,0,0.0,0.0,-1.0129028458444718
2002-04-02,1379.3839537102126,1388.361813009117,1359.5044081197818,1382.59033203125,1224200,0.0,0.0,-1.0133670579815204
2002-04-03,1378.7427128586812,1380.02526421948,1350.5265829211082,1372.3299560546875,677100,0.0,0.0,-1.0152239286213796
2002-04-04,1378.1013367199964,1407.6000158680279,1372.3298560171206,1406.958740234375,564100,0.0,0.0,-1.0089569874503972
2002-04-05,1410.8064561631943,1455.6957524956597,1410.8064561631943,1442.8702392578125,909700,0.0,0.0,-1.0024579070733943
2002-04-08,1490.9660240953992,1534.5727723270065,1490.9660240953992,1491.6072998046875,1014000,0.0,0.0,-0.9936377218278196
2002-04-09,1498.661359629086,1525.5949399048334,1452.4895077278047,1464.032470703125,406500,0.0,0.0,-0.9986280740990019
2002-04-10,1465.3150034803025,1506.9979248046875,1452.4894892266457,1506.9979248046875,298300,0.0,0.0,-0.990852404822199
2002-04-11,1494.8137145495805,1566.6365957291398,1488.4009573014055,1564.7127685546875,1163900,0.0,0.0,-0.9804074660511217
2002-04-12,1558.300124805498,1603.1894288122405,1545.474609375,1545.474609375,843800,0.0,0.0,-0.9838890902164834
2002-04-15,1558.3000504203465,1564.7128078294838,1462.1086892832882,1474.9342041015625,899400,0.0,0.0,-0.9966551338561326
2002-04-16,1494.8138451209434,1512.769566984258,1487.7598115317842,1500.5853271484375,399400,0.0,0.0,-0.9920129241189889
2002-04-17,1523.0297523087943,1539.0616444383604,1513.4106170310545,1537.1378173828125,651400,0.0,0.0,-0.985397840413968
